Column1,Column4,Column2,Column3,Column5
rideshare,60,Fahrgemeinschaft,word,
right,20,rechts,word,
right of way,60,Vorfahrt,phrase,
river,40,Fluss,word,
river cruise,60,Flusskreuzfahrt,word,
road,5,Straße,word,
rocks,50,Felsen,word,
roll,50,Rolle,word,
rolls,50,Brötchen,word,
room,24,Zimmer,word,
route,60,Strecke,word,
run,60,laufen,word,
runway,90,Start- und Landebahn,word,
rush,60,Eile,word,
rush hour,70,Stoßzeit,word,
sad,33,traurig,word,
salad,40,Salat,word,
sale,70,Verkauf,word,
salesperson,70,Verkäufer,word,
satisfaction,30,Zufriedenheit,word,
scenery,60,Landschaft,word,
schedule,50,Zeitplan,word,
school,70,Schule,word,
seafood,70,Meeresfrüchte,word,
seat,12,Sitzplatz,word,
seatbelt,59,Sicherheitsgurt,word,
seating,70,Sitzgelegenheit,word,
seating policy,90,Sitzplatzregelung,word,
security,31,Sicherheit,word,
security clearance,90,Sicherheitsüberprüfung,word,
see,22,sehen,word,
see you soon,30,bis bald / wir sehen uns bald,phrase,Mir gsehnd üs gli / Mir gsehnd üs bald
sell,20,verkaufen,word,
service,11,Service/Dienstleistung,word,
serving,70,Portion,word,
shelf,70,Regal,word,
shopping,20,Einkaufen,word,
shopping cart,70,Einkaufswagen,word,
short,27,kurz,word,
shut,50,schließen,word,
"shut up, enough already",20,"sei still, genug jetzt",phrase,Schnauze
shuttle,55,Shuttle,word,
sick,52,krank,word,
side,30,Seite,word,
side effects,90,Nebenwirkungen,word,
sign,30,Schild/Zeichen,word,
signature,50,Unterschrift,word,
sing,80,singen,word,
sinus,60,Nasennebenhöhle,word,
sinus infection,90,Nasennebenhöhlenentzündung,word,
ski,70,Ski,word,
ski resort,80,Skigebiet,word,
skiing,65,Skifahren,word,
skin,55,Haut,word,
skin rash,90,Hautausschlag,word,
sky,18,Himmel,word,
sleep,30,schlafen,word,
slow,31,langsam,word,
small,40,klein,word,
smile,70,lächeln,word,
smoking,60,Rauchen,word,
snack,56,Snack,word,
snacks,61,Snacks,word,
snow,70,Schnee,word,
snowboarding,65,Snowboarden,word,
so,20,so,word,
soda,20,Limonade,word,
soft,50,weich,word,
soft drinks,60,alkoholfreie Getränke,word,
some,5,einige/manche,word,
something,40,etwas,word,
soon,60,bald,word,
sore,60,wund,word,
sore throat,90,Halsschmerzen,word,
sorry,1,Entschuldigung,word,
sourced,90,bezogen,word,
sous,90,Küchenchef,word,
speak,30,sprechen,word,
special,5,besonders/spezial,word,
specials,30,Angebote/Spezialitäten,word,
specific,50,spezifisch,word,
spices,70,Gewürze,word,
spicy,62,würzig,word,
spirits,80,Spirituosen,word,
split,40,teilen,word,
spray,70,Sprühflasche,word,
staff,70,Personal,word,
stale,75,abgestanden,word,
star,22,Stern,word,
start,20,Anfang/starten,word,
station,50,Station,word,
steak,40,Steak,word,
still,70,immer noch,word,
stock,30,Bestand/Lager,word,
stop,5,Halt,word,
story,70,Geschichte,word,
straight,50,geradeaus,word,
street,20,Straße,word,
street art,70,Straßenkunst,word,
streetcar,70,Straßenbahn,word,
strong,38,stark,word,
student,60,Student,word,
study,70,studieren,word,
subway,60,U-Bahn,word,
suggestions,70,Vorschläge,word,
sun,25,Sonne,word,
supplements,80,Nahrungsergänzungsmittel,word,
suppository,60,Zäpfchen,word,
swim,70,schwimmen,word,
swiss,60,Schweizer,word,
swiss army knife,50,Schweizer Taschenmesser,word,
swiss cheese,50,Schweizer Käse,word,
swiss chocolate,50,Schweizer Schokolade,word,
swiss franc,50,Schweizer Franken,word,
symptoms,55,Symptome,word,
syrup,45,Sirup,word,
tab,70,Registerkarte,word,
table,38,Tisch,word,
tablecloth,80,Tischtuch,word,
tablet,40,Tablette,word,
take,50,nehmen,word,
where are the check-in counters?,5,Wo sind die Check-in-Schalter?,phrase,
takeout,70,Essen zum Mitnehmen,word,
talk,70,sprechen,word,
tall,39,groß,word,
tape,95,Klebeband,word,
tarmac,90,Rollbahn,word,
taste,70,Geschmack,word,
tasteless,72,geschmacklos,word,
taxi,30,Taxi,word,
tea,70,Tee,word,
teach,70,lehren,word,
teacher,70,Lehrer/in,word,
technician,60,Techniker/in,word,
television,27,Fernseher,word,
tell,50,erzählen,word,
terminal,60,Terminal,word,
test,75,Test,word,
thank,5,danke,word,
thank you,1,danke,word,
where are you from?,5,Woher kommen Sie?,phrase,
thanks,1,danke,word,
that,1,dass/jenes,word,
would you like to pay with cash or card?,5,Möchten Sie bar oder mit Karte bezahlen?,phrase,
your flight is boarding now at gate x.,5,Ihr Flug beginnt das Boarding am Gate x.,phrase,
"your flight is delayed/cancelled, please proceed to the customer service desk.",5,"Ihr Flug ist verspätet/abgesagt, bitte gehen Sie zum Kundenservice-Schalter.",phrase,
can i bring you anything to start off your meal?,10,Kann ich Ihnen etwas zum Start Ihres Essens bringen?,phrase,
can i get you some bread or rolls?,10,Kann ich Ihnen etwas Brot oder Brötchen bringen?,phrase,
that's not easy,20,das ist nicht einfach / das ist nicht leicht,phrase,Das isch nid eifach / Das isch nöd eifach
can i get you some water or soda as well?,10,Kann ich Ihnen auch etwas Wasser oder Limonade bringen?,phrase,
can i offer you any promotions or discounts on products,10,Kann ich Ihnen Werbeaktionen oder Rabatte auf Produkte anbieten?,phrase,
can i offer you some gum or mints?,10,Kann ich Ihnen Kaugummi oder Pfefferminz anbieten?,phrase,
the,1,der/die/das,word,
there,1,dort,word,
did you find everything you were looking for?,10,"Haben Sie alles gefunden, wonach Sie gesucht haben?",phrase,
there's still room,20,es ist noch Platz,phrase,Es het no Plätz
thermometer,50,Thermometer,word,
thick,57,dick,word,
thin,44,dünn,word,
things,18,Dinge/Sachen,word,
things are going well for you!,20,es läuft gut für dich!,phrase,Läuft bei dir!
think,30,denken,word,
this,1,dies/das,word,
throat,60,Hals,word,
thru,95,durch,word,
ticket,60,Ticket,word,
time,5,Zeit,word,
timetable,50,Fahrplan,word,
tip,70,Trinkgeld,word,
tired,22,müde,word,
to,1,zu/nach,word,
to feel like doing something,20,"Lust haben, etwas zu tun",phrase,Bock haben
"to speak frankly, to tell the truth",50,um ehrlich zu sein,phrase,Tacheles reden
tobacco,80,Tabak,word,
today,5,heute,word,
toll,60,Maut,word,
toll road,80,Mautstraße,word,
tomorrow,70,morgen,word,
total,37,gesamt,word,
tour,30,Tour,word,
traffic,20,Verkehr,word,
train,50,Zug,word,
tram,80,Straßenbahn,word,
tramway,70,Straßenbahn,word,
transfer,50,Transfer,word,
transportation,70,Transport,word,
tray,51,Tablett,word,
tree,21,Baum,word,
trip,50,Reise,word,
trolley,80,Einkaufswagen,word,
truth,68,Wahrheit,word,
try,20,versuchen/probieren,word,
tunnel,55,Tunnel,word,
turnpike,70,Autobahngebühr,word,
type,20,Typ/Art,word,
uber,50,Uber,word,
ugly,46,hässlich,word,
university,80,Universität,word,
up,10,oben/hoch,word,
upgrade,63,Upgrade,word,
upright,55,aufrecht,word,
us,10,uns,word,
use,5,nutzen/benutzen,word,
vegan,70,vegan,word,
vegetarian,70,vegetarisch,word,
very,30,sehr,word,
visit,56,Besuch,word,
vitamins,70,Vitamine,word,
waiter,80,Kellner,word,
waiting,70,warten,word,
waiting list,90,Warteliste,word,
waitress,80,Kellnerin,word,
wake,80,aufwachen,word,
walk,20,Spaziergang,word,
wall,40,Wand,word,
want,5,wollen/möchten,word,
was,1,war,word,
watches,55,Uhren,word,
water,5,Wasser,word,
waterfall,70,Wasserfall,word,
way,40,Weg,word,
we,10,wir,word,
we'll do that tomorrow,20,wir werden das morgen machen,phrase,Mir mache das morn
we're looking forward to it,30,wir freuen uns darauf,phrase,Mir freued eus
we can do it tomorrow,30,wir können es morgen machen,phrase,Mir chönds morn mache
did you find our prices reasonable?,10,Fanden Sie unsere Preise angemessen?,phrase,
do you need a to-go box?,10,Brauchen Sie eine Verpackung zum Mitnehmen?,phrase,
do you prefer your drink on the rocks or straight up?,10,Möchten Sie Ihr Getränk on the rocks oder straight up?,phrase,
weak,44,schwach,word,
week,20,Woche,word,
weight,50,Gewicht,word,
weight loss,80,Gewichtsverlust,word,
welcome,10,willkommen,word,
well,5,gut/wohl,word,
were,5,waren,word,
west,20,Westen,word,
West Berlin,60,West-Berlin,word,NA
what,1,was,word,
do you want to split the bill?,10,Möchten Sie die Rechnung teilen?,phrase,
how would you like your steak cooked?,10,Wie möchten Sie Ihr Steak gebraten haben?,phrase,
is there a transfer required for my journey?,10,Gibt es für meine Reise einen Umstieg?,phrase,
is there anything else i can help you with?,10,Kann ich Ihnen sonst noch weiterhelfen?,phrase,
it's a bit difficult,10,Es ist ein bisschen schwierig,phrase,Es isch chli schwirig
what do you recommend to me?,20,Was empfehlen Sie mir?,phrase,Was empfiehlsch mir?
what do you recommend?,20,Was empfehlen Sie?,phrase,Was empfiehlsch?
it's not bad,10,es ist nicht schlecht,phrase,Es isch nöd schlimm
what is the purpose of your visit?,20,Was ist der Grund Ihres Besuchs?,phrase,
what is the total cost of my purchase?,20,Wie viel kostet mein Einkauf insgesamt?,phrase,
what kind of music do you prefer?,50,Welche Musik bevorzugen Sie?,phrase,
what kind of snacks do you have available?,30,Welche Snacks haben Sie zur Verfügung?,phrase,
what seat would you prefer?,30,Welchen Sitzplatz hätten Sie gerne?,phrase,
what side dishes would you like with your meal?,20,Welche Beilagen möchten Sie zu Ihrem Essen?,phrase,
it's not great,10,es ist nicht großartig,phrase,S'isch nöd dr Hammer
it's not so important,10,es ist nicht so wichtig,phrase,Es isch nid so wichtig
that's easy,10,das ist einfach,phrase,Das isch eifach
what type of dressing would you like on your salad?,20,Welches Dressing möchten Sie auf Ihrem Salat?,phrase,
wheel,20,Rad,word,
where,20,wo,word,
that's fantastic,10,das ist fantastisch,phrase,Das isch fantastisch
that's very good,10,das ist sehr gut,phrase,Das isch sehr guet
where can i find a currency exchange office?,30,Wo finde ich eine Wechselstube?,phrase,
that's very interesting,10,Das ist sehr interessant,phrase,Das isch sehr interessant
who,30,wer,word,
wide,51,breit,word,
wifi,74,WLAN,word,
window,38,Fenster,word,
wine,59,Wein,word,
wine list,80,Weinkarte,word,
with,1,mit,word,
work,40,arbeiten,word,
workday,77,Arbeitstag,word,
worker,28,Arbeiter/in,word,
world,40,Welt,word,
would,10,würde,word,
would you like a refill on your drink?,20,Möchten Sie Ihr Getränk nachfüllen lassen?,phrase,
would you like a snack or beverage with that?,30,Möchten Sie einen Snack oder ein Getränk dazu?,phrase,
would you like any appetizers to go with your drinks?,30,Möchten Sie Vorspeisen zu Ihren Getränken?,phrase,
would you like to buy any cigarettes or tobacco products?,60,Möchten Sie Zigaretten oder Tabakwaren kaufen?,phrase,
would you like to leave your feedback?,70,Möchten Sie ein Feedback hinterlassen?,phrase,
we did it,10,wir haben es geschafft,phrase,Mir händs geschafft
would you like to purchase any duty-free items?,20,Möchten Sie Duty-free-Artikel kaufen?,phrase,
would you like to sign up for our mailing list?,80,Möchten Sie sich für unseren Newsletter anmelden?,phrase,
would you like to sign up for our rewards program?,80,Möchten Sie sich für unser Treueprogramm anmelden?,phrase,
would you like to try a beer flight or a wine flight?,20,Möchten Sie ein Bierflug oder einen Weinflug probieren?,phrase,
would you like to try our new product?,70,Möchten Sie unser neues Produkt ausprobieren?,phrase,
would you like to try our signature cocktail?,70,Möchten Sie unseren Signature-Cocktail probieren?,phrase,
would you like to try our specials today?,40,Möchten Sie unsere heutigen Spezialitäten probieren?,phrase,
would you like to upgrade to first class?,80,Möchten Sie in die erste Klasse upgraden?,phrase,
write,70,schreiben,word,
year,30,Jahr,word,
years,30,Jahre,word,
yodeling,90,Jodeln,word,
you,1,du/Sie,word,
you're,20,du bist,word,NA
what do you recommend from the menu?,10,Was empfehlen Sie auf der Speisekarte?,phrase,
young,26,jung,word,
your,1,dein/Ihr,word,
you're welcome,10,Bitte schön,phrase,Gern gscheh
